Validation_Set,Topics,Alpha,Beta,Coherence
75% Corpus,2,0.01,0.01,0.4958841600735659
75% Corpus,2,0.01,0.31,0.5608150355906715
75% Corpus,2,0.01,0.61,0.5608150355906715
75% Corpus,2,0.01,0.9099999999999999,0.5575618503797477
75% Corpus,2,0.01,symmetric,0.5608150355906715
75% Corpus,2,0.31,0.01,0.5080066801958746
75% Corpus,2,0.31,0.31,0.5497856867312036
75% Corpus,2,0.31,0.61,0.5614272651911184
75% Corpus,2,0.31,0.9099999999999999,0.5628927221331703
75% Corpus,2,0.31,symmetric,0.5614272651911184
75% Corpus,2,0.61,0.01,0.565152892275647
75% Corpus,2,0.61,0.31,0.5557267600151938
75% Corpus,2,0.61,0.61,0.5138644624203567
75% Corpus,2,0.61,0.9099999999999999,0.4792413973945607
75% Corpus,2,0.61,symmetric,0.5291349192552535
75% Corpus,2,0.9099999999999999,0.01,0.5427913501399675
75% Corpus,2,0.9099999999999999,0.31,0.459608630700582
75% Corpus,2,0.9099999999999999,0.61,0.5261308058680684
75% Corpus,2,0.9099999999999999,0.9099999999999999,0.4888911640348508
75% Corpus,2,0.9099999999999999,symmetric,0.502944437762769
75% Corpus,2,symmetric,0.01,0.5312743979224235
75% Corpus,2,symmetric,0.31,0.532921082488834
75% Corpus,2,symmetric,0.61,0.5231602805276923
75% Corpus,2,symmetric,0.9099999999999999,0.5185966887335984
75% Corpus,2,symmetric,symmetric,0.5492708157740902
75% Corpus,2,asymmetric,0.01,0.4943109800624278
75% Corpus,2,asymmetric,0.31,0.49114832891481486
75% Corpus,2,asymmetric,0.61,0.4904805888119341
75% Corpus,2,asymmetric,0.9099999999999999,0.5377202802124403
75% Corpus,2,asymmetric,symmetric,0.5063504323978475
75% Corpus,3,0.01,0.01,0.573519657797906
75% Corpus,3,0.01,0.31,0.5692931548022179
75% Corpus,3,0.01,0.61,0.5498052989914614
75% Corpus,3,0.01,0.9099999999999999,0.5502283632552325
75% Corpus,3,0.01,symmetric,0.5692931548022179
75% Corpus,3,0.31,0.01,0.5263185526625976
75% Corpus,3,0.31,0.31,0.5434052226247933
75% Corpus,3,0.31,0.61,0.5552536219428557
75% Corpus,3,0.31,0.9099999999999999,0.5630197857900443
75% Corpus,3,0.31,symmetric,0.5434052226247935
75% Corpus,3,0.61,0.01,0.5175896264523663
75% Corpus,3,0.61,0.31,0.503543693722266
75% Corpus,3,0.61,0.61,0.481098007349446
75% Corpus,3,0.61,0.9099999999999999,0.4742363653697486
75% Corpus,3,0.61,symmetric,0.48818329402905936
75% Corpus,3,0.9099999999999999,0.01,0.5134840096671414
75% Corpus,3,0.9099999999999999,0.31,0.5598856803836597
75% Corpus,3,0.9099999999999999,0.61,0.5002497198167278
75% Corpus,3,0.9099999999999999,0.9099999999999999,0.5147132061851895
75% Corpus,3,0.9099999999999999,symmetric,0.5394699403211044
75% Corpus,3,symmetric,0.01,0.5010157897841728
75% Corpus,3,symmetric,0.31,0.5417342709200601
75% Corpus,3,symmetric,0.61,0.5466212893690369
75% Corpus,3,symmetric,0.9099999999999999,0.5630197857900443
75% Corpus,3,symmetric,symmetric,0.5393890665552059
75% Corpus,3,asymmetric,0.01,0.42607214683739275
75% Corpus,3,asymmetric,0.31,0.39887267565377993
75% Corpus,3,asymmetric,0.61,0.49856692505018235
75% Corpus,3,asymmetric,0.9099999999999999,0.4952437994747135
75% Corpus,3,asymmetric,symmetric,0.4255802971544386
75% Corpus,4,0.01,0.01,0.4895862439822386
75% Corpus,4,0.01,0.31,0.5338638447165995
75% Corpus,4,0.01,0.61,0.5255175246029994
75% Corpus,4,0.01,0.9099999999999999,0.5323976845649931
75% Corpus,4,0.01,symmetric,0.5223453879747397
75% Corpus,4,0.31,0.01,0.450161539780861
75% Corpus,4,0.31,0.31,0.47550633616867377
75% Corpus,4,0.31,0.61,0.507932438679336
75% Corpus,4,0.31,0.9099999999999999,0.49499871956603414
75% Corpus,4,0.31,symmetric,0.47550633616867377
75% Corpus,4,0.61,0.01,0.5037083885507008
75% Corpus,4,0.61,0.31,0.42168710982483937
75% Corpus,4,0.61,0.61,0.47903351055721066
75% Corpus,4,0.61,0.9099999999999999,0.44499051832305475
75% Corpus,4,0.61,symmetric,0.4024851240186553
75% Corpus,4,0.9099999999999999,0.01,0.5376161017581689
75% Corpus,4,0.9099999999999999,0.31,0.48611685040243047
75% Corpus,4,0.9099999999999999,0.61,0.5202313573496358
75% Corpus,4,0.9099999999999999,0.9099999999999999,0.5085592252501753
75% Corpus,4,0.9099999999999999,symmetric,0.45081724339719076
75% Corpus,4,symmetric,0.01,0.4417522735787294
75% Corpus,4,symmetric,0.31,0.498935145908844
75% Corpus,4,symmetric,0.61,0.5040760758106999
75% Corpus,4,symmetric,0.9099999999999999,0.5006479365070088
75% Corpus,4,symmetric,symmetric,0.5020544730449789
75% Corpus,4,asymmetric,0.01,0.4549014876283395
75% Corpus,4,asymmetric,0.31,0.41700779679105276
75% Corpus,4,asymmetric,0.61,0.4417241983660379
75% Corpus,4,asymmetric,0.9099999999999999,0.4534870775293838
75% Corpus,4,asymmetric,symmetric,0.44886043141793064
75% Corpus,5,0.01,0.01,0.46314005485936016
75% Corpus,5,0.01,0.31,0.5232261434130537
75% Corpus,5,0.01,0.61,0.546069937365605
